salary_id,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,remote_type,company_location,company_size,salary_band,is_outlier
35,2020,Mid-Level,Full-Time,Data Analyst,41000,EUR,46759,FR,50,Hybrid,FR,Large,Junior,False
36,2020,Mid-Level,Full-Time,Data Engineer,65000,EUR,74130,AT,50,Hybrid,AT,Large,Mid-Level,False
37,2020,Mid-Level,Full-Time,Data Science Consultant,103000,USD,103000,US,100,Remote,US,Large,Mid-Level,False
38,2020,Entry,Full-Time,Machine Learning Engineer,250000,USD,250000,US,50,Hybrid,US,Large,Executive,False
39,2020,Entry,Full-Time,Data Analyst,10000,USD,10000,NG,100,Remote,NG,Small,Junior,False
40,2020,Entry,Full-Time,Machine Learning Engineer,138000,USD,138000,US,100,Remote,US,Small,Senior,False
41,2020,Mid-Level,Full-Time,Data Scientist,45760,USD,45760,PH,100,Remote,US,Small,Junior,False
42,2020,Executive,Full-Time,Data Engineering Manager,70000,EUR,79833,ES,50,Hybrid,ES,Large,Mid-Level,False
43,2020,Mid-Level,Full-Time,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,0,On-Site,PT,Medium,Junior,False
44,2020,Mid-Level,Full-Time,Data Engineer,106000,USD,106000,US,100,Remote,US,Large,Mid-Level,False
45,2020,Mid-Level,Full-Time,Data Engineer,88000,GBP,112872,GB,50,Hybrid,GB,Large,Mid-Level,False
46,2020,Entry,Part-Time,Ml Engineer,14000,EUR,15966,DE,100,Remote,DE,Small,Junior,False
47,2020,Mid-Level,Full-Time,Data Scientist,60000,GBP,76958,GB,100,Remote,GB,Small,Mid-Level,False
48,2020,Senior,Full-Time,Data Engineer,188000,USD,188000,US,100,Remote,US,Large,Senior,False
49,2020,Mid-Level,Full-Time,Data Scientist,105000,USD,105000,US,100,Remote,US,Large,Mid-Level,False
50,2020,Mid-Level,Full-Time,Data Engineer,61500,EUR,70139,FR,50,Hybrid,FR,Large,Mid-Level,False
51,2020,Entry,Full-Time,Data Analyst,450000,INR,6072,IN,0,On-Site,IN,Small,Junior,True
52,2020,Entry,Full-Time,Data Analyst,91000,USD,91000,US,100,Remote,US,Large,Mid-Level,False
53,2020,Entry,Full-Time,Ai Scientist,300000,DKK,45896,DK,50,Hybrid,DK,Small,Junior,False
54,2020,Entry,Full-Time,Data Engineer,48000,EUR,54742,PK,100,Remote,DE,Large,Junior,False
55,2020,Senior,,Computer Vision Engineer,60000,USD,60000,RU,100,Remote,US,Small,Mid-Level,False
56,2020,Senior,Full-Time,Principal Data Scientist,130000,EUR,148261,DE,100,Remote,DE,Medium,Senior,False
57,2020,Mid-Level,Full-Time,Data Scientist,34000,EUR,38776,ES,100,Remote,ES,Medium,Junior,False
58,2020,Mid-Level,Full-Time,Data Scientist,118000,USD,118000,US,100,Remote,US,Medium,Mid-Level,False
59,2020,Senior,Full-Time,Data Scientist,120000,USD,120000,US,50,Hybrid,US,Large,Senior,False
60,2020,Mid-Level,Full-Time,Data Scientist,138350,USD,138350,US,100,Remote,US,Medium,Senior,False
61,2020,Mid-Level,Full-Time,Data Engineer,110000,USD,110000,US,100,Remote,US,Large,Mid-Level,False
62,2020,Mid-Level,Full-Time,Data Engineer,130800,USD,130800,ES,100,Remote,US,Medium,Senior,False
63,2020,Entry,Part-Time,Data Scientist,19000,EUR,21669,IT,50,Hybrid,IT,Small,Junior,False
64,2020,Senior,Full-Time,Data Scientist,412000,USD,412000,US,100,Remote,US,Large,Executive,True
65,2020,Senior,Full-Time,Machine Learning Engineer,40000,EUR,45618,HR,100,Remote,HR,Small,Junior,False
66,2020,Entry,Full-Time,Data Scientist,55000,EUR,62726,DE,50,Hybrid,DE,Small,Mid-Level,False
67,2020,Entry,Full-Time,Data Scientist,43200,EUR,49268,DE,0,On-Site,DE,Small,Junior,False
68,2020,Senior,Full-Time,Data Science Manager,190200,USD,190200,US,100,Remote,US,Medium,Senior,False
69,2020,Entry,Full-Time,Data Scientist,105000,USD,105000,US,100,Remote,US,Small,Mid-Level,False
70,2020,Senior,Full-Time,Data Scientist,80000,EUR,91237,AT,0,On-Site,AT,Small,Mid-Level,False
71,2020,Mid-Level,Full-Time,Data Scientist,55000,EUR,62726,FR,50,Hybrid,LU,Small,Mid-Level,False
72,2020,Mid-Level,Full-Time,Data Scientist,37000,EUR,42197,FR,50,Hybrid,FR,Small,Junior,False
73,2021,Entry,Full-Time,Research Scientist,60000,GBP,82528,GB,50,Hybrid,GB,Large,Mid-Level,False
74,2021,Executive,Full-Time,Bi Data Analyst,150000,USD,150000,IN,100,Remote,US,Large,Senior,False
75,2021,Executive,Full-Time,Head Of Data,235000,USD,235000,US,100,Remote,US,Large,Executive,False
76,2021,Senior,Full-Time,Data Scientist,45000,EUR,53192,FR,50,Hybrid,FR,Large,Junior,False
77,2021,Mid-Level,Full-Time,Bi Data Analyst,100000,USD,100000,US,100,Remote,US,Medium,Mid-Level,False
78,2021,Mid-Level,Part-Time,3D Computer Vision Researcher,400000,INR,5409,IN,50,Hybrid,IN,Medium,Junior,True
79,2021,Mid-Level,Contract,Ml Engineer,270000,USD,270000,US,100,Remote,US,Large,Executive,False
80,2021,Entry,Full-Time,Data Analyst,80000,USD,80000,US,100,Remote,US,Medium,Mid-Level,False
81,2021,Senior,Full-Time,Data Analytics Engineer,67000,EUR,79197,DE,100,Remote,DE,Large,Mid-Level,False
82,2021,Mid-Level,Full-Time,Data Engineer,140000,USD,140000,US,100,Remote,US,Large,Senior,False
83,2021,Mid-Level,Full-Time,Applied Data Scientist,68000,CAD,54238,GB,50,Hybrid,CA,Large,Junior,False
84,2021,Mid-Level,Full-Time,Machine Learning Engineer,40000,EUR,47282,ES,100,Remote,ES,Small,Junior,False
85,2021,Executive,Full-Time,Director Of Data Science,130000,EUR,153667,IT,100,Remote,PL,Large,Senior,False
86,2021,Mid-Level,Full-Time,Data Engineer,110000,PLN,28476,PL,100,Remote,PL,Large,Junior,False
87,2021,Entry,Full-Time,Data Analyst,50000,EUR,59102,FR,50,Hybrid,FR,Medium,Junior,False
88,2021,Mid-Level,Full-Time,Data Analytics Engineer,110000,USD,110000,US,100,Remote,US,Large,Mid-Level,False
89,2021,Senior,Full-Time,Lead Data Analyst,170000,USD,170000,US,100,Remote,US,Large,Senior,False
90,2021,Senior,Full-Time,Data Analyst,80000,USD,80000,BG,100,Remote,US,Small,Mid-Level,False
91,2021,Senior,Full-Time,Marketing Data Analyst,75000,EUR,88654,GR,100,Remote,DK,Large,Mid-Level,False
92,2021,Entry,Full-Time,Data Science Consultant,65000,EUR,76833,DE,100,Remote,DE,Small,Mid-Level,False
93,2021,Mid-Level,Full-Time,Lead Data Analyst,1450000,INR,19609,IN,100,Remote,IN,Large,Junior,True
94,2021,Senior,Full-Time,Lead Data Engineer,276000,USD,276000,US,0,On-Site,US,Large,Executive,False
95,2021,Entry,Full-Time,Data Scientist,2200000,INR,29751,IN,50,Hybrid,IN,Large,Junior,True
96,2021,Mid-Level,Full-Time,Cloud Data Engineer,120000,SGD,89294,SG,50,Hybrid,SG,Large,Mid-Level,False
97,2021,Entry,Part-Time,Ai Scientist,12000,USD,12000,BR,100,Remote,US,Small,Junior,False
98,2021,Mid-Level,Full-Time,Financial Data Analyst,450000,USD,450000,US,100,Remote,US,Large,Executive,True
99,2021,Entry,Full-Time,Computer Vision Software Engineer,70000,USD,70000,US,100,Remote,US,Medium,Mid-Level,False
100,2021,Mid-Level,Full-Time,Computer Vision Software Engineer,81000,EUR,95746,DE,100,Remote,US,Small,Mid-Level,False
101,2021,Mid-Level,Full-Time,Data Analyst,75000,USD,75000,US,0,On-Site,US,Large,Mid-Level,False
102,2021,Senior,Full-Time,Data Engineer,150000,USD,150000,US,100,Remote,US,Large,Senior,False
103,2021,Mid-Level,Full-Time,Bi Data Analyst,11000000,HUF,36259,HU,50,Hybrid,US,Large,Junior,True
104,2021,Mid-Level,Full-Time,Data Analyst,62000,USD,62000,US,0,On-Site,US,Large,Mid-Level,False
105,2021,Mid-Level,Full-Time,Data Scientist,73000,USD,73000,US,0,On-Site,US,Large,Mid-Level,False
106,2021,Mid-Level,Full-Time,Data Analyst,37456,GBP,51519,GB,50,Hybrid,GB,Large,Junior,False
107,2021,Mid-Level,Full-Time,Research Scientist,235000,CAD,187442,CA,100,Remote,CA,Large,Senior,False
108,2021,Senior,Full-Time,Data Engineer,115000,USD,115000,US,100,Remote,US,Small,Mid-Level,False
109,2021,Senior,Full-Time,Data Engineer,150000,USD,150000,US,100,Remote,US,Medium,Senior,False
110,2021,Entry,Full-Time,Data Engineer,2250000,INR,30428,IN,100,Remote,IN,Large,Junior,True
111,2021,Senior,Full-Time,Machine Learning Engineer,80000,EUR,94564,DE,50,Hybrid,DE,Large,Mid-Level,False
112,2021,Senior,Full-Time,Director Of Data Engineering,82500,GBP,113476,GB,100,Remote,GB,Medium,Mid-Level,False
113,2021,Senior,Full-Time,Lead Data Engineer,75000,GBP,103160,GB,100,Remote,GB,Small,Mid-Level,False
114,2021,Entry,Part-Time,Ai Scientist,12000,USD,12000,PK,100,Remote,US,Medium,Junior,False
115,2021,Mid-Level,Full-Time,Data Engineer,38400,EUR,45391,NL,100,Remote,NL,Large,Junior,False
116,2021,Entry,Full-Time,Machine Learning Scientist,225000,USD,225000,US,100,Remote,US,Large,Executive,False
117,2021,Mid-Level,Full-Time,Data Scientist,50000,USD,50000,NG,100,Remote,NG,Large,Junior,False
118,2021,Mid-Level,Full-Time,Data Science Engineer,34000,EUR,40189,GR,100,Remote,GR,Medium,Junior,False
119,2021,Entry,Full-Time,Data Analyst,90000,USD,90000,US,100,Remote,US,Small,Mid-Level,False
120,2021,Mid-Level,Full-Time,Data Engineer,200000,USD,200000,US,100,Remote,US,Large,Executive,False
121,2021,Mid-Level,Full-Time,Big Data Engineer,60000,USD,60000,ES,50,Hybrid,RO,Medium,Mid-Level,False
122,2021,Senior,Full-Time,Principal Data Engineer,200000,USD,200000,US,100,Remote,US,Medium,Executive,False
123,2021,Entry,Full-Time,Data Analyst,50000,USD,50000,US,100,Remote,US,Medium,Junior,False
124,2021,Entry,Full-Time,Applied Data Scientist,80000,GBP,110037,GB,0,On-Site,GB,Large,Mid-Level,False
125,2021,Entry,Part-Time,Data Analyst,8760,EUR,10354,ES,50,Hybrid,ES,Medium,Junior,False
126,2021,Mid-Level,Full-Time,Principal Data Scientist,151000,USD,151000,US,100,Remote,US,Large,Senior,False
127,2021,Senior,Full-Time,Machine Learning Scientist,120000,USD,120000,US,50,Hybrid,US,Small,Senior,False
128,2021,Mid-Level,Full-Time,Data Scientist,700000,INR,9466,IN,0,On-Site,IN,Small,Junior,True
129,2021,Entry,Full-Time,Machine Learning Engineer,20000,USD,20000,IN,100,Remote,IN,Small,Junior,False
130,2021,Senior,Full-Time,Lead Data Scientist,3000000,INR,40570,IN,50,Hybrid,IN,Large,Junior,True
131,2021,Entry,Full-Time,Machine Learning Developer,100000,USD,100000,IQ,50,Hybrid,IQ,Small,Mid-Level,False
132,2021,Entry,Full-Time,Data Scientist,42000,EUR,49646,FR,50,Hybrid,FR,Medium,Junior,False
133,2021,Mid-Level,Full-Time,Applied Machine Learning Scientist,38400,USD,38400,VN,100,Remote,US,Medium,Junior,False
134,2021,Senior,Full-Time,Computer Vision Engineer,24000,USD,24000,BR,100,Remote,BR,Medium,Junior,False
135,2021,Entry,Full-Time,Data Scientist,100000,USD,100000,US,0,On-Site,US,Small,Mid-Level,False
136,2021,Mid-Level,Full-Time,Data Analyst,90000,USD,90000,US,100,Remote,US,Medium,Mid-Level,False
137,2021,Mid-Level,Full-Time,Ml Engineer,7000000,JPY,63711,JP,50,Hybrid,JP,Small,Mid-Level,True
138,2021,Mid-Level,Full-Time,Ml Engineer,8500000,JPY,77364,JP,50,Hybrid,JP,Small,Mid-Level,True
139,2021,Senior,Full-Time,Principal Data Scientist,220000,USD,220000,US,0,On-Site,US,Large,Executive,False
140,2021,Entry,Full-Time,Data Scientist,80000,USD,80000,US,100,Remote,US,Medium,Mid-Level,False
141,2021,Mid-Level,Full-Time,Data Analyst,135000,USD,135000,US,100,Remote,US,Large,Senior,False
142,2021,Senior,Full-Time,Data Science Manager,240000,USD,240000,US,0,On-Site,US,Large,Executive,False
143,2021,Senior,Full-Time,Data Engineering Manager,150000,USD,150000,US,0,On-Site,US,Large,Senior,False
144,2021,Mid-Level,Full-Time,Data Scientist,82500,USD,82500,US,100,Remote,US,Small,Mid-Level,False
145,2021,Mid-Level,Full-Time,Data Engineer,100000,USD,100000,US,100,Remote,US,Large,Mid-Level,False
146,2021,Senior,Full-Time,Machine Learning Engineer,70000,EUR,82744,BE,50,Hybrid,BE,Medium,Mid-Level,False
147,2021,Mid-Level,Full-Time,Research Scientist,53000,EUR,62649,FR,50,Hybrid,FR,Medium,Mid-Level,False
148,2021,Mid-Level,Full-Time,Data Engineer,90000,USD,90000,US,100,Remote,US,Large,Mid-Level,False
149,2021,Senior,Full-Time,Data Engineering Manager,153000,USD,153000,US,100,Remote,US,Large,Senior,False
150,2021,Senior,Full-Time,Cloud Data Engineer,160000,USD,160000,BR,100,Remote,US,Small,Senior,False
151,2021,Senior,Full-Time,Director Of Data Science,168000,USD,168000,JP,0,On-Site,JP,Small,Senior,False
152,2021,Mid-Level,Full-Time,Data Scientist,150000,USD,150000,US,100,Remote,US,Medium,Senior,False
153,2021,Mid-Level,Full-Time,Data Scientist,95000,CAD,75774,CA,100,Remote,CA,Large,Mid-Level,False
154,2021,Entry,Full-Time,Data Scientist,13400,USD,13400,UA,100,Remote,UA,Large,Junior,False
155,2021,Senior,Full-Time,Data Science Manager,144000,USD,144000,US,100,Remote,US,Large,Senior,False
156,2021,Senior,Full-Time,Data Science Engineer,159500,CAD,127221,CA,50,Hybrid,CA,Large,Senior,False
157,2021,Mid-Level,Full-Time,Data Scientist,160000,SGD,119059,SG,100,Remote,IL,Medium,Mid-Level,False
158,2021,Mid-Level,Full-Time,Applied Machine Learning Scientist,423000,USD,423000,US,50,Hybrid,US,Large,Executive,True
159,2021,Senior,Full-Time,Data Analytics Manager,120000,USD,120000,US,100,Remote,US,Medium,Senior,False
160,2021,Entry,Full-Time,Machine Learning Engineer,125000,USD,125000,US,100,Remote,US,Small,Senior,False
161,2021,Executive,Full-Time,Head Of Data,230000,USD,230000,RU,50,Hybrid,RU,Large,Executive,False
162,2021,Executive,Full-Time,Head Of Data Science,85000,USD,85000,RU,0,On-Site,RU,Medium,Mid-Level,False
163,2021,Mid-Level,Full-Time,Data Engineer,24000,EUR,28369,MT,50,Hybrid,MT,Large,Junior,False
164,2021,Entry,Full-Time,Data Science Consultant,54000,EUR,63831,DE,50,Hybrid,DE,Large,Mid-Level,False
165,2021,Executive,Full-Time,Director Of Data Science,110000,EUR,130026,DE,50,Hybrid,DE,Medium,Senior,False
166,2021,Senior,Full-Time,Data Specialist,165000,USD,165000,US,100,Remote,US,Large,Senior,False
167,2021,Entry,Full-Time,Data Engineer,80000,USD,80000,US,100,Remote,US,Large,Mid-Level,False
168,2021,Executive,Full-Time,Director Of Data Science,250000,USD,250000,US,0,On-Site,US,Large,Executive,False
169,2021,Entry,Full-Time,Bi Data Analyst,55000,USD,55000,US,50,Hybrid,US,Small,Junior,False
170,2021,Mid-Level,Full-Time,Data Architect,150000,USD,150000,US,100,Remote,US,Large,Senior,False
171,2021,Mid-Level,Full-Time,Data Architect,170000,USD,170000,US,100,Remote,US,Large,Senior,False
172,2021,Mid-Level,Full-Time,Data Engineer,60000,GBP,82528,GB,100,Remote,GB,Large,Mid-Level,False
173,2021,Entry,Full-Time,Data Analyst,60000,USD,60000,US,100,Remote,US,Small,Mid-Level,False
174,2021,Senior,Full-Time,Principal Data Scientist,235000,USD,235000,US,100,Remote,US,Large,Executive,False
175,2021,Senior,Full-Time,Research Scientist,51400,EUR,60757,PT,50,Hybrid,PT,Large,Mid-Level,False
176,2021,Senior,Full-Time,Data Engineering Manager,174000,USD,174000,US,100,Remote,US,Large,Senior,False
177,2021,Mid-Level,Full-Time,Data Scientist,58000,MXN,2859,MX,0,On-Site,MX,Small,Junior,False
178,2021,Mid-Level,Full-Time,Data Scientist,30400000,CLP,40038,CL,100,Remote,CL,Large,Junior,True
179,2021,Entry,Full-Time,Machine Learning Engineer,81000,USD,81000,US,50,Hybrid,US,Small,Mid-Level,False
180,2021,Mid-Level,Full-Time,Data Scientist,420000,INR,5679,IN,100,Remote,US,Small,Junior,True
181,2021,Mid-Level,Full-Time,Big Data Engineer,1672000,INR,22611,IN,0,On-Site,IN,Large,Junior,True
182,2021,Mid-Level,Full-Time,Data Scientist,76760,EUR,90734,DE,50,Hybrid,DE,Large,Mid-Level,False
183,2021,Mid-Level,Full-Time,Data Engineer,22000,EUR,26005,RO,0,On-Site,US,Large,Junior,False
184,2021,Senior,Full-Time,Finance Data Analyst,45000,GBP,61896,GB,50,Hybrid,GB,Large,Mid-Level,False
185,2021,Mid-Level,,Machine Learning Scientist,12000,USD,12000,PK,50,Hybrid,PK,Medium,Junior,False
186,2021,Mid-Level,Full-Time,Data Engineer,4000,USD,4000,IR,100,Remote,IR,Medium,Junior,False
187,2021,Senior,Full-Time,Data Analytics Engineer,50000,USD,50000,VN,100,Remote,GB,Medium,Junior,False
188,2021,Executive,Full-Time,Data Science Consultant,59000,EUR,69741,FR,100,Remote,ES,Small,Mid-Level,False
189,2021,Senior,Full-Time,Data Engineer,65000,EUR,76833,RO,50,Hybrid,GB,Small,Mid-Level,False
190,2021,Mid-Level,Full-Time,Machine Learning Engineer,74000,USD,74000,JP,50,Hybrid,JP,Small,Mid-Level,False
191,2021,Senior,Full-Time,Data Science Manager,152000,USD,152000,US,100,Remote,FR,Large,Senior,False
192,2021,Entry,Full-Time,Machine Learning Engineer,21844,USD,21844,CO,50,Hybrid,CO,Medium,Junior,False
193,2021,Mid-Level,Full-Time,Big Data Engineer,18000,USD,18000,MD,0,On-Site,MD,Small,Junior,False
194,2021,Senior,Full-Time,Data Science Manager,174000,USD,174000,US,100,Remote,US,Large,Senior,False
195,2021,Senior,Full-Time,Research Scientist,120500,CAD,96113,CA,50,Hybrid,CA,Large,Mid-Level,False
196,2021,Mid-Level,Full-Time,Data Scientist,147000,USD,147000,US,50,Hybrid,US,Large,Senior,False
197,2021,Entry,Full-Time,Bi Data Analyst,9272,USD,9272,KE,100,Remote,KE,Small,Junior,False
198,2021,Senior,Full-Time,Machine Learning Engineer,1799997,INR,24342,IN,100,Remote,IN,Large,Junior,True
199,2021,Senior,Full-Time,Data Science Manager,4000000,INR,54094,IN,50,Hybrid,US,Large,Junior,True
200,2021,Entry,Full-Time,Data Science Consultant,90000,USD,90000,US,100,Remote,US,Small,Mid-Level,False
201,2021,Mid-Level,Full-Time,Data Scientist,52000,EUR,61467,DE,50,Hybrid,AT,Medium,Mid-Level,False
202,2021,Senior,Full-Time,Machine Learning Infrastructure Engineer,195000,USD,195000,US,100,Remote,US,Medium,Senior,False
203,2021,Mid-Level,Full-Time,Data Scientist,32000,EUR,37825,ES,100,Remote,ES,Large,Junior,False
204,2021,Senior,Full-Time,Research Scientist,50000,USD,50000,FR,100,Remote,US,Small,Junior,False
205,2021,Mid-Level,Full-Time,Data Scientist,160000,USD,160000,US,100,Remote,US,Large,Senior,False
206,2021,Mid-Level,Full-Time,Data Scientist,69600,BRL,12901,BR,0,On-Site,BR,Small,Junior,False
207,2021,Senior,Full-Time,Machine Learning Engineer,200000,USD,200000,US,100,Remote,US,Large,Executive,False
208,2021,Senior,Full-Time,Data Engineer,165000,USD,165000,US,0,On-Site,US,Medium,Senior,False
209,2021,Mid-Level,,Data Engineer,20000,USD,20000,IT,0,On-Site,US,Large,Junior,False
210,2021,Senior,Full-Time,Data Analytics Manager,120000,USD,120000,US,0,On-Site,US,Large,Senior,False
211,2021,Mid-Level,Full-Time,Machine Learning Engineer,21000,EUR,24823,SI,50,Hybrid,SI,Large,Junior,False
212,2021,Mid-Level,Full-Time,Research Scientist,48000,EUR,56738,FR,50,Hybrid,FR,Small,Junior,False
213,2021,Mid-Level,Full-Time,Data Engineer,48000,GBP,66022,HK,50,Hybrid,GB,Small,Mid-Level,False
214,2021,Entry,Full-Time,Big Data Engineer,435000,INR,5882,IN,0,On-Site,CH,Large,Junior,True
215,2021,Entry,Full-Time,Machine Learning Engineer,21000,EUR,24823,DE,50,Hybrid,DE,Medium,Junior,False
216,2021,Senior,Full-Time,Principal Data Engineer,185000,USD,185000,US,100,Remote,US,Large,Senior,False
217,2021,Entry,Part-Time,Computer Vision Engineer,180000,DKK,28609,DK,50,Hybrid,DK,Small,Junior,False
218,2021,Mid-Level,Full-Time,Data Scientist,76760,EUR,90734,DE,50,Hybrid,DE,Large,Mid-Level,False
219,2021,Mid-Level,Full-Time,Machine Learning Engineer,75000,EUR,88654,BE,100,Remote,BE,Medium,Mid-Level,False
220,2021,Senior,Full-Time,Data Analytics Manager,140000,USD,140000,US,100,Remote,US,Large,Senior,False
221,2021,Mid-Level,Full-Time,Machine Learning Engineer,180000,PLN,46597,PL,100,Remote,PL,Large,Junior,False
222,2021,Mid-Level,Full-Time,Data Scientist,85000,GBP,116914,GB,50,Hybrid,GB,Large,Mid-Level,False
223,2021,Mid-Level,Full-Time,Data Scientist,2500000,INR,33808,IN,0,On-Site,IN,Medium,Junior,True
224,2021,Mid-Level,Full-Time,Data Scientist,40900,GBP,56256,GB,50,Hybrid,GB,Large,Junior,False
225,2021,Senior,Full-Time,Machine Learning Scientist,225000,USD,225000,US,100,Remote,CA,Large,Executive,False
226,2021,Executive,Contract,Principal Data Scientist,416000,USD,416000,US,100,Remote,US,Small,Executive,True
227,2021,Senior,Full-Time,Data Scientist,110000,CAD,87738,CA,100,Remote,CA,Small,Mid-Level,False
228,2021,Mid-Level,Full-Time,Data Scientist,75000,EUR,88654,DE,50,Hybrid,DE,Large,Mid-Level,False
229,2021,Senior,Full-Time,Data Scientist,135000,USD,135000,US,0,On-Site,US,Large,Senior,False
230,2021,Senior,Full-Time,Data Analyst,90000,CAD,71786,CA,100,Remote,CA,Medium,Mid-Level,False
231,2021,Entry,Full-Time,Big Data Engineer,1200000,INR,16228,IN,100,Remote,IN,Large,Junior,True
232,2021,Senior,Full-Time,Ml Engineer,256000,USD,256000,US,100,Remote,US,Small,Executive,False
233,2021,Senior,Full-Time,Director Of Data Engineering,200000,USD,200000,US,100,Remote,US,Large,Executive,False
234,2021,Senior,Full-Time,Data Analyst,200000,USD,200000,US,100,Remote,US,Large,Executive,False
235,2021,Mid-Level,Full-Time,Data Architect,180000,USD,180000,US,100,Remote,US,Large,Senior,False
236,2021,Mid-Level,Full-Time,Head Of Data Science,110000,USD,110000,US,0,On-Site,US,Small,Mid-Level,False
237,2021,Mid-Level,Full-Time,Research Scientist,80000,CAD,63810,CA,100,Remote,CA,Medium,Mid-Level,False
238,2021,Mid-Level,Full-Time,Data Scientist,39600,EUR,46809,ES,100,Remote,ES,Medium,Junior,False
239,2021,Entry,Full-Time,Data Scientist,4000,USD,4000,VN,0,On-Site,VN,Medium,Junior,False
240,2021,Entry,Full-Time,Data Engineer,1600000,INR,21637,IN,50,Hybrid,IN,Medium,Junior,True
241,2021,Senior,Full-Time,Data Scientist,130000,CAD,103691,CA,100,Remote,CA,Large,Mid-Level,False
242,2021,Mid-Level,Full-Time,Data Analyst,80000,USD,80000,US,100,Remote,US,Large,Mid-Level,False
243,2021,Mid-Level,Full-Time,Data Engineer,110000,USD,110000,US,100,Remote,US,Large,Mid-Level,False
244,2021,Senior,Full-Time,Data Scientist,165000,USD,165000,US,100,Remote,US,Large,Senior,False
245,2021,Entry,Full-Time,Ai Scientist,1335000,INR,18053,IN,100,Remote,AS,Small,Junior,True
